"date","count","affiliation"
2015-07-13,2,"student"
2015-07-15,1,"student"
2015-07-16,1,"student"
2015-07-20,1,"student"
2015-08-02,2,"community"
2015-08-03,1,"community"
2015-08-03,2,"student"
2015-08-05,1,"community"
2015-08-06,1,"student"
2015-08-07,1,"community"
2015-08-17,1,"community"
2015-08-19,1,"student"
2015-08-20,1,"student"
2015-08-21,1,"student"
2015-08-22,0,"community"
2015-08-23,0,"community"
2015-08-24,1,"student"
2015-08-25,1,"community"
2015-08-27,1,"community"
2015-08-30,2,"student"
2015-08-31,1,"community"
2015-09-01,1,"student"
2015-09-02,1,"student"
2015-09-03,1,"student"
2015-09-08,1,"student"
2015-09-10,1,"student"
2015-09-22,1,"student"
2015-09-24,2,"student"
2015-09-25,4,"student"
2015-09-26,4,"student"
2015-09-27,6,"student"
2015-09-27,2,"community"
2015-09-28,3,"student"
2015-09-29,3,"student"
2015-09-29,1,"community"
2015-09-30,4,"student"
2015-10-01,6,"student"
2015-10-01,1,"community"
2015-10-02,2,"student"
2015-10-03,1,"student"
2015-10-04,1,"student"
2015-10-05,1,"student"
2015-10-06,1,"student"
2015-10-08,1,"student"
2015-10-10,3,"student"
2015-10-12,2,"student"
2015-10-12,1,"community"
2015-10-13,6,"student"
2015-10-13,1,"community"
2015-10-14,4,"student"
2015-10-14,3,"community"
2015-10-15,6,"student"
2015-10-15,1,"community"
2015-10-16,2,"student"
2015-10-16,1,"community"
2015-10-17,4,"student"
2015-10-18,2,"student"
2015-10-18,1,"faculty/staff"
2015-10-18,2,"community"
2015-10-19,3,"student"
2015-10-20,3,"student"
2015-10-21,1,"student"
2015-10-22,2,"student"
2015-10-23,1,"community"
2015-10-28,2,"student"
2015-10-29,1,"student"
2015-10-30,3,"student"
2015-10-31,5,"student"
2015-11-01,6,"student"
2015-11-01,2,"community"
2015-11-02,7,"student"
2015-11-02,1,"faculty/staff"
2015-11-02,1,"community"
2015-11-03,2,"student"
2015-11-04,3,"student"
2015-11-05,4,"student"
2015-11-05,1,"community"
2015-11-06,5,"student"
2015-11-07,3,"student"
2015-11-07,1,"faculty/staff"
2015-11-07,2,"community"
2015-11-08,2,"student"
2015-11-09,4,"student"
2015-11-10,3,"student"
2015-11-10,1,"community"
2015-11-11,1,"student"
2015-11-11,1,"faculty/staff"
2015-11-11,2,"community"
2015-11-12,2,"student"
2015-11-12,1,"community"
2015-11-13,1,"student"
2015-11-14,2,"student"
2015-11-14,1,"faculty/staff"
2015-11-15,7,"student"
2015-11-15,1,"faculty/staff"
2015-11-16,2,"student"
2015-11-16,1,"community"
2015-11-17,6,"student"
2015-11-18,9,"student"
2015-11-18,1,"faculty/staff"
2015-11-18,2,"community"
2015-11-19,1,"student"
2015-11-19,2,"community"
2015-11-20,2,"student"
2015-11-21,2,"student"
2015-11-22,3,"student"
2015-11-22,1,"community"
2015-11-23,2,"student"
2015-11-23,1,"community"
2015-11-26,2,"student"
2015-11-26,1,"community"
2015-11-27,2,"student"
2015-11-27,1,"faculty/staff"
2015-11-28,2,"student"
2015-11-28,1,"community"
2015-11-29,1,"community"
2015-11-30,1,"student"
2015-11-30,2,"community"
2015-12-01,5,"student"
2015-12-01,4,"community"
2015-12-02,3,"student"
2015-12-02,1,"community"
2015-12-04,3,"student"
2015-12-04,1,"community"
2015-12-05,1,"student"
2015-12-05,2,"community"
2015-12-06,3,"student"
2015-12-06,2,"community"
2015-12-07,4,"student"
2015-12-07,2,"faculty/staff"
2015-12-07,2,"community"
2015-12-08,7,"student"
2015-12-08,1,"faculty/staff"
2015-12-09,4,"student"
2015-12-09,1,"community"
2015-12-10,2,"student"
2015-12-10,1,"community"
2015-12-11,1,"student"
2015-12-11,1,"faculty/staff"
2015-12-11,1,"community"
2015-12-12,2,"student"
2015-12-12,2,"faculty/staff"
2015-12-12,2,"community"
2015-12-13,1,"student"
2015-12-13,1,"community"
2015-12-14,1,"faculty/staff"
2015-12-15,5,"student"
2015-12-15,1,"community"
2015-12-16,1,"student"
2015-12-16,1,"community"
2015-12-17,1,"student"
2015-12-18,1,"faculty/staff"
2015-12-18,2,"community"
2015-12-20,2,"student"
2015-12-22,1,"faculty/staff"
2015-12-23,1,"student"
2015-12-23,1,"community"
2015-12-24,1,"student"
2015-12-24,1,"community"
2015-12-25,1,"community"
2015-12-26,1,"student"
2015-12-26,4,"community"
2015-12-28,3,"community"
2015-12-29,1,"student"
2015-12-29,1,"faculty/staff"
2015-12-29,1,"community"
2015-12-30,1,"student"
2015-12-31,1,"community"
2016-01-01,3,"community"
2016-01-02,1,"student"
2016-01-02,1,"community"
2016-01-03,1,"student"
2016-01-03,5,"community"
2016-01-04,2,"student"
2016-01-04,1,"community"
2016-01-05,2,"student"
2016-01-05,2,"community"
2016-01-06,1,"faculty/staff"
2016-01-06,5,"community"
2016-01-07,1,"faculty/staff"
2016-01-07,3,"community"
2016-01-09,2,"student"
2016-01-09,1,"community"
2016-01-10,3,"student"
2016-01-13,1,"student"
2016-01-14,2,"student"
2016-01-14,1,"community"
2016-01-15,1,"student"
2016-01-15,1,"community"
2016-01-18,2,"community"
2016-01-19,1,"faculty/staff"
2016-01-19,1,"community"
2016-01-21,1,"student"
2016-01-22,1,"community"
2016-01-23,1,"student"
2016-01-24,1,"community"
2016-01-25,1,"community"
2016-01-26,1,"student"
2016-01-26,1,"community"
2016-01-27,4,"student"
2016-01-27,1,"community"
2016-01-28,1,"community"
2016-01-31,1,"student"
2016-02-01,1,"student"
2016-02-01,1,"community"
2016-02-02,1,"community"
2016-02-03,1,"student"
2016-02-04,1,"student"
2016-02-04,1,"community"
2016-02-06,1,"student"
2016-02-07,1,"student"
2016-02-10,1,"student"
2016-02-11,1,"community"
2016-02-12,1,"student"
2016-02-14,2,"student"
2016-02-15,1,"student"
2016-02-21,1,"community"
2016-02-23,1,"community"
2016-02-24,1,"community"
2016-02-25,2,"student"
2016-02-26,1,"community"
2016-02-28,1,"community"
2016-02-29,1,"student"
2016-03-01,2,"student"
2016-03-04,1,"community"
2016-03-05,1,"community"
2016-03-07,1,"community"
2016-03-10,1,"community"
2016-03-19,1,"student"
2016-03-21,1,"student"
2016-03-23,1,"community"
2016-04-01,1,"student"
2016-04-02,1,"community"
2016-04-03,1,"student"
2016-04-03,1,"community"
2016-04-09,1,"student"
2016-04-10,1,"student"
2016-04-12,1,"student"
2016-04-14,1,"student"
2016-04-17,2,"student"
2016-04-20,2,"student"
2016-04-21,1,"student"
2016-04-22,1,"student"
2016-04-23,1,"student"
2016-04-24,1,"student"
2016-04-27,1,"student"
2016-05-02,1,"student"
2016-05-06,1,"student"
2016-05-08,2,"student"
2016-05-11,1,"student"
2016-05-11,1,"community"
2016-05-13,1,"student"
